"year","driverid","driver","total_points"
1950,642,"Nino Farina","57"
1951,579,"Juan Fangio","55"
1952,647,"Alberto Ascari","162"
1953,647,"Alberto Ascari","119"
1954,579,"Juan Fangio","170.14"
1955,579,"Juan Fangio","95"
1956,579,"Juan Fangio","57.5"
1957,579,"Juan Fangio","84"
1958,475,"Stirling Moss","98"
1959,475,"Stirling Moss","43"
1960,356,"Jack Brabham","120"
1961,403,"Phil Hill","53"
1962,289,"Graham Hill","115"
1963,373,"Jim Clark","249"
1964,373,"Jim Clark","63"
1965,373,"Jim Clark","189"
1966,356,"Jack Brabham","102"
1967,373,"Jim Clark","101"
1968,289,"Graham Hill","87"
1969,328,"Jackie Stewart","195"
1970,358,"Jochen Rindt","135"
1971,328,"Jackie Stewart","225"
1972,224,"Emerson Fittipaldi","199"
1973,328,"Jackie Stewart","195"
1974,224,"Emerson Fittipaldi","83"
1975,182,"Niki Lauda","180.5"
1976,231,"James Hunt","244"
1977,182,"Niki Lauda","124"
1978,207,"Mario Andretti","234"
1979,178,"Alan Jones","115"
1980,178,"Alan Jones","203"
1981,117,"Alain Prost","78"
1982,187,"John Watson","43"
1983,117,"Alain Prost","127"
1984,117,"Alain Prost","293.5"
1985,117,"Alain Prost","177"
1986,95,"Nigel Mansell","200"
1987,95,"Nigel Mansell","213"
1988,102,"Ayrton Senna","399"
1989,102,"Ayrton Senna","201"
1990,102,"Ayrton Senna","245"
1991,102,"Ayrton Senna","328"
1992,95,"Nigel Mansell","486"
1993,117,"Alain Prost","316"
1994,30,"Michael Schumacher","384"
1995,30,"Michael Schumacher","512"
1996,71,"Damon Hill","389"
1997,35,"Jacques Villeneuve","300"
1998,57,"Mika Häkkinen","444"
1999,57,"Mika Häkkinen","198"
2000,30,"Michael Schumacher","534"
2001,30,"Michael Schumacher","585"
2002,30,"Michael Schumacher","790"
2003,30,"Michael Schumacher","312"
2004,30,"Michael Schumacher","926"
2005,4,"Fernando Alonso","426"
2006,30,"Michael Schumacher","511"
2007,8,"Kimi Räikkönen","398"
2008,13,"Felipe Massa","321"
2009,18,"Jenson Button","209"
2010,20,"Sebastian Vettel","845"
2011,20,"Sebastian Vettel","2190"
2012,20,"Sebastian Vettel","863"
2013,20,"Sebastian Vettel","3079"
2014,1,"Lewis Hamilton","2125"
2015,1,"Lewis Hamilton","1916"
2016,1,"Lewis Hamilton","2277"
2017,1,"Lewis Hamilton","1797"
2018,1,"Lewis Hamilton","2676"
2019,1,"Lewis Hamilton","2280"
2020,1,"Lewis Hamilton","2074"
2021,830,"Max Verstappen","2036.5"
2022,830,"Max Verstappen","3651"
2023,830,"Max Verstappen","5942"
2024,830,"Max Verstappen","838"
