"driverid","driver","overall_won_points"
1,"Lewis Hamilton","15145"
830,"Max Verstappen","12467.5"
20,"Sebastian Vettel","6977"
30,"Michael Schumacher","4554"
102,"Ayrton Senna","1173"
117,"Alain Prost","991.5"
95,"Nigel Mansell","899"
57,"Mika Häkkinen","642"
328,"Jackie Stewart","615"
373,"Jim Clark","602"
579,"Juan Fangio","461.64"
4,"Fernando Alonso","426"
8,"Kimi Räikkönen","398"
71,"Damon Hill","389"
13,"Felipe Massa","321"
178,"Alan Jones","318"
182,"Niki Lauda","304.5"
35,"Jacques Villeneuve","300"
224,"Emerson Fittipaldi","282"
647,"Alberto Ascari","281"
231,"James Hunt","244"
207,"Mario Andretti","234"
356,"Jack Brabham","222"
18,"Jenson Button","209"
289,"Graham Hill","202"
475,"Stirling Moss","141"
358,"Jochen Rindt","135"
642,"Nino Farina","57"
403,"Phil Hill","53"
187,"John Watson","43"
