"grand_prix","grand_prix_hosted"
"British Grand Prix","76"
"Italian Grand Prix","74"
"Monaco Grand Prix","70"
"Belgian Grand Prix","68"
"German Grand Prix","64"
"French Grand Prix","63"
"Spanish Grand Prix","54"
"Canadian Grand Prix","53"
"Brazilian Grand Prix","47"
"United States Grand Prix","44"
"Japanese Grand Prix","38"
"Australian Grand Prix","38"
"Hungarian Grand Prix","38"
"Austrian Grand Prix","37"
"Dutch Grand Prix","33"
"San Marino Grand Prix","26"
"South African Grand Prix","23"
"European Grand Prix","23"
"Argentine Grand Prix","21"
"Bahrain Grand Prix","20"
"Mexican Grand Prix","20"
"Malaysian Grand Prix","19"
"Portuguese Grand Prix","18"
"Chinese Grand Prix","17"
"Abu Dhabi Grand Prix","15"
"Singapore Grand Prix","14"
"Indianapolis 500","11"
"Turkish Grand Prix","9"
"Russian Grand Prix","8"
"United States Grand Prix West","8"
"Detroit Grand Prix","7"
"Swiss Grand Prix","6"
"Swedish Grand Prix","6"
"Azerbaijan Grand Prix","6"
"Korean Grand Prix","4"
"Saudi Arabian Grand Prix","4"
"Emilia Romagna Grand Prix","4"
"Mexico City Grand Prix","3"
"Miami Grand Prix","3"
"Ṣo Paulo Grand Prix","3"
"Indian Grand Prix","3"
"Qatar Grand Prix","2"
"Luxembourg Grand Prix","2"
"Styrian Grand Prix","2"
"Caesars Palace Grand Prix","2"
"Pacific Grand Prix","2"
"Las Vegas Grand Prix","1"
"Sakhir Grand Prix","1"
"Pescara Grand Prix","1"
"Tuscan Grand Prix","1"
"Dallas Grand Prix","1"
"Eifel Grand Prix","1"
"70th Anniversary Grand Prix","1"
"Moroccan Grand Prix","1"
