"driverid","driver","number_of_times_winning_grandprix_and_fastestlap"
30,"Michael Schumacher","35"
1,"Lewis Hamilton","31"
830,"Max Verstappen","20"
20,"Sebastian Vettel","13"
4,"Fernando Alonso","10"
57,"Mika Häkkinen","9"
8,"Kimi Räikkönen","9"
3,"Nico Rosberg","6"
18,"Jenson Button","5"
22,"Rubens Barrichello","5"
35,"Jacques Villeneuve","4"
13,"Felipe Massa","4"
822,"Valtteri Bottas","4"
71,"Damon Hill","3"
17,"Mark Webber","2"
23,"Ralf Schumacher","2"
817,"Daniel Ricciardo","2"
31,"Juan Pablo Montoya","2"
14,"David Coulthard","2"
844,"Charles Leclerc","2"
49,"Heinz-Harald Frentzen","1"
77,"Gerhard Berger","1"
847,"George Russell","1"
