"country","number_of_grandprix_per_country"
"USA","8"
"Italy","5"
"Germany","4"
"UK","3"
"Austria","2"
"Bahrain","2"
"Mexico","2"
"Spain","2"
"Japan","2"
"Azerbaijan","2"
"Brazil","2"
"France","2"
"Canada","1"
"Portugal","1"
"Saudi Arabia","1"
"Argentina","1"
"India","1"
"Morocco","1"
"Belgium","1"
"Monaco","1"
"South Africa","1"
"Malaysia","1"
"Singapore","1"
"Switzerland","1"
"UAE","1"
"Hungary","1"
"Russia","1"
"China","1"
"Korea","1"
"Sweden","1"
"Qatar","1"
"Netherlands","1"
"Australia","1"
"Turkey","1"
